@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
192.087,64.939,6.309,26.828,16.382,5.829,6.655,5.969,4.129,1,224,148,62,0.533,0.291,85,0.000,1.000,8.000,0.387,0.321,0.302,0.129,humo
191.100,64.888,6.295,24.454,14.690,4.853,6.548,5.843,3.988,1,226,142,54,0.694,0.347,86,0.000,1.000,10.000,0.390,0.399,0.398,0.284,humo
160.864,47.451,4.005,41.521,20.292,4.077,7.075,5.983,3.431,1,302,166,50,1.391,0.306,58,1.000,12.000,14.000,0.515,0.416,0.378,0.741,humo
144.086,40.008,3.041,26.054,11.663,2.458,6.508,5.420,3.115,1,276,134,34,1.415,0.484,63,1.000,3.000,22.000,0.511,0.418,0.354,0.075,humo
138.018,46.093,4.614,26.785,11.387,3.752,5.916,4.925,3.381,1,252,148,60,2.034,0.612,58,2.000,7.000,16.000,0.465,0.446,0.438,0.410,humo
86.452,28.219,8.725,37.536,15.930,7.937,6.805,5.565,4.472,1,286,118,94,1.300,0.317,51,0.000,1.000,9.000,0.974,0.035,0.147,0.427,nada
16.684,4.692,5.984,6.910,3.665,3.401,3.792,2.936,3.327,0,112,66,64,80.750,2.615,8,52.000,46.000,33.000,0.953,0.168,0.896,0.204,nada
13.098,4.086,6.443,1.424,0.713,1.260,2.272,1.518,2.261,0,14,8,14,101.000,3.271,8,171.000,530.000,149.000,0.333,0.441,1.490,0.208,nada
173.814,54.256,2.738,8.624,4.625,1.196,4.908,4.122,2.290,1,74,42,16,2.592,1.000,76,3.000,11.000,119.000,0.135,0.339,0.317,0.618,humo
183.311,58.043,2.871,16.176,8.044,2.102,5.783,4.762,2.837,1,160,94,30,1.890,0.758,79,1.000,4.000,34.000,0.254,0.259,0.268,0.346,humo
